feed_name,entity_id,trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,current_stop_sequence,current_status,stop_id,timestamp_unix,timestamp_readable,vehicle_id,vehicle_label,latitude,longitude,bearing,odometer,speed,congestion_level,occupancy_status
1234567S,000223,128300_6..S01R,6,0,,20260512,0,18,2,619S,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000225,128600_6..N01R,6,0,,20260512,0,16,1,625N,1778636940,2026-05-12 18:49:00,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000227,129100_6..N01R,6,0,,20260512,0,13,1,628N,1778636959,2026-05-12 18:49:19,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000229,129150_6..S01R,6,0,,20260512,0,13,0,614S,1778636971,2026-05-12 18:49:31,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000231,129600_6..N03X021,6,0,,20260512,0,10,1,631N,1778636963,2026-05-12 18:49:23,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000233,130000_6..S01X021,6,0,,20260512,0,7,2,608S,1778636960,2026-05-12 18:49:20,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000235,130100_6..N01R,6,0,,20260512,0,7,1,634N,1778636970,2026-05-12 18:49:30,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000237,130600_6..N01R,6,0,,20260512,0,4,1,637N,1778636942,2026-05-12 18:49:02,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000239,130750_6..S01X021,6,0,,20260512,0,3,2,603S,1778636964,2026-05-12 18:49:24,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000241,131250_6..N01R,6,0,,20260512,0,1,1,640N,1778636798,2026-05-12 18:46:38,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000250,032950_7..S,7,0,,20260512,0,1,1,701S,1778577605,2026-05-12 02:20:05,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000252,039250_7X..S,7X,0,,20260512,0,10,1,720S,1778583449,2026-05-12 03:57:29,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000254,040450_7..S,7,0,,20260512,0,1,1,701S,1778582433,2026-05-12 03:40:33,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000256,041750_7X..S,7X,0,,20260512,0,10,1,720S,1778587122,2026-05-12 04:58:42,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000258,041800_7..N,7,0,,20260512,0,1,1,726N,1778583237,2026-05-12 03:53:57,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000260,042250_7..N,7,0,,20260512,0,1,1,726N,1778583814,2026-05-12 04:03:34,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000262,043250_7..N,7,0,,20260512,0,1,1,726N,1778584356,2026-05-12 04:12:36,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000264,044500_7..N,7,0,,20260512,0,1,2,726N,1778584996,2026-05-12 04:23:16,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000267,045150_7X..S,7X,0,,20260512,0,1,1,701S,1778585315,2026-05-12 04:28:35,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000269,045750_7X..S,7X,0,,20260512,0,1,1,701S,1778585764,2026-05-12 04:36:04,,,0.0,0.0,0.0,0.0,0.0,0,0
